iter	Passed	Remaining
190	65793	450908
191	66028	449816
192	66441	449941
193	66819	449828
194	66934	447944
195	67270	447554
196	67339	445400
197	67678	445039
198	67993	444520
199	68345	444248
200	68715	444089
201	68903	442756
202	69161	441882
203	69314	440351
204	69677	440156
205	69865	438863
206	70208	438549
207	70628	438708
208	70826	437498
209	71184	437274
210	71570	437223
211	71954	437155
212	72052	435360
213	72366	434876
214	72764	434896
215	73072	434376
216	73532	434755
217	73934	434791
218	74327	434765
219	74422	433001
220	74791	432841
221	74924	431324
222	75256	430955
223	75659	430991
224	75913	430178
225	76264	429916
226	76614	429648
227	77045	429832
228	77421	429704
229	77608	428531
230	77994	428462
231	78381	428393
232	78515	426950
233	78862	426663
234	79219	426434
235	79649	426594
236	80017	426422
237	80396	426306
238	80735	425971
239	81118	425871
240	81511	425819
241	81865	425562
242	82309	425774
243	82408	424200
244	82786	424071
245	83095	423584
246	83478	423473
247	83878	423449
248	84234	423202
249	84553	422769
250	84985	422895
251	85364	422758
252	85733	422568
253	86125	422490
254	86498	422318
255	86850	422040
256	87242	421956
257	87478	421117
258	87679	420117
259	88036	419864
260	88422	419750
261	88770	419456
262	89188	419490
263	89560	419307
264	89710	418084
265	90042	417715
266	90426	417585
267	90806	417440
268	91167	417200
269	91552	417070
270	91942	416964
271	92318	416790
272	92716	416716
273	93089	416524
274	93487	416445
275	93883	416354
276	94265	416198
277	94583	415758
278	95021	415844
279	95420	415760
280	95688	415104
281	96040	414813
282	96429	414682
283	96855	414706
284	97287	414749
285	97695	414692
286	98071	414496
287	98486	414461
288	98849	414209
289	99200	413903
290	99600	413805
291	99994	413675
292	100177	412674
293	100535	412402
294	100936	412300
295	101295	412024
296	101673	411827
297	101997	411411
298	102380	411234
299	102764	411056
300	103155	410910
301	103502	410582
302	103922	410546
303	104262	410188
304	104687	410170
305	104989	409666
306	105406	409609
307	105789	409418
308	106163	409194
309	106556	409038
310	106931	408814
311	107277	408480
312	107701	408438
313	108084	408244
314	108460	408019
315	108892	408003
316	109252	407713
317	109640	407532
318	110003	407252
319	110432	407221
320	110794	406936
321	111187	406765
322	111508	406332
323	111922	406236
324	112297	405998
325	112689	405819
326	112787	404586
327	113131	404237
328	113511	404019
329	113871	403727
330	114277	403595
331	114662	403390
332	115046	403180
333	115413	402911
334	115752	402543
335	116167	402436
336	116560	402253
337	116884	401832
338	117269	401622
339	117592	401197
340	117984	401010
341	118279	400489
342	118683	400341
343	118985	399845
344	119396	399717
345	119747	399387
346	120145	399215
347	120529	398995
348	120909	398758
349	121240	398361
350	121691	398356
351	122029	397981
352	122456	397895
353	122881	397801
354	123240	397493
355	123508	396892
356	123917	396743
357	124323	396584
358	124727	396419
359	125070	396056
360	125532	396071
361	125933	395889
362	126318	395659
363	126668	395318
364	127091	395203
365	127444	394868
366	127842	394675
367	128201	394357
368	128523	393931
369	128943	393800
370	129306	393496
371	129658	393159
372	130109	393118
373	130498	392890
374	130873	392620
375	131222	392271
376	131629	392095
377	131989	391778
378	132314	391357
379	132721	391180
380	133017	390672
381	133478	390651
382	133877	390447
383	134236	390125
384	134581	389762
385	135022	389676
386	135368	389315
387	135780	389144
388	136139	388820
389	136532	388593
390	136861	388182
391	137295	388069
392	137652	387737
393	137954	387252
394	138368	387082
395	138708	386703
396	139137	386570
397	139426	386051
398	139841	385878
399	140179	385493
400	140610	385363
401	141024	385185
402	141418	384953
403	141842	384799
404	142204	384477
405	142625	384315
406	142965	383935
407	143425	383874
408	143844	383703
409	144245	383481
410	144570	383058
411	144976	382849
412	145303	382434
413	145715	382240
414	146000	381711
415	146412	381517
416	146764	381166
417	147216	381072
418	147531	380625
419	147949	380440
420	148266	379998
421	148704	379866
422	149047	379489
423	149484	379352
424	149839	379005
425	150289	378898
426	150651	378570
427	150996	378197
428	151413	378005
429	151760	377636
430	152164	377409
431	152549	377135
432	152913	376809
433	153279	376488
434	153599	376053
435	154042	375920
436	154418	375621
437	154768	375260
438	155186	375063
439	155541	374714
440	155863	374285
441	156303	374137
442	156693	373870
443	157133	373723
444	157491	373379
445	157925	373213
446	158254	372801
447	158617	372466
448	158930	372018
449	159356	371832
450	159720	371501
451	160057	371106
452	160457	370858
453	160775	370421
454	161221	370277
455	161608	369997
456	161959	369635
457	162408	369496
458	162734	369077
459	163118	368790
460	163431	368341
461	163881	368200
462	164209	367787
463	164640	367603
464	164988	367233
465	165403	367011
466	165784	366714
467	166184	366458
468	166558	366145
469	166925	365815
470	167288	365477
471	167639	365113
472	167940	364640
473	168361	364427
474	168733	364110
475	169189	363971
476	169510	363542
477	169898	363254
478	170254	362901
479	170653	362638
480	170992	362249
481	171437	362080
482	171795	361730
483	172163	361400
484	172590	361194
485	172933	360811
486	173359	360602
487	173685	360183
488	174104	359959
489	174470	359623
490	174798	359209
491	175221	358989
492	175621	358723
493	175989	358392
494	176313	357969
495	176729	357734
496	177056	357320
497	177468	357074
498	177834	356737
499	178176	356352
500	178570	356071
501	178917	355696
502	179342	355476
503	179680	355083
504	180086	354822
505	180452	354486
506	180844	354199
507	181171	353784
508	181570	353508
509	181984	353263
510	182311	352850
511	182748	352648
512	183069	352221
513	183458	351927
514	183756	351456
515	184213	351290
516	184568	350929
517	184918	350559
518	185348	350341
519	185699	349973
520	186142	349776
521	186457	349340
522	186896	349136
523	187230	348734
524	187633	348461
525	187959	348047
526	188386	347818
527	188783	347534
528	189128	347152
529	189574	346956
530	189951	346633
531	190303	346266
532	190631	345855
533	191025	345562
534	191374	345188
535	191778	344914
536	192153	344587
537	192480	344175
538	192875	343883
539	193204	343475
